Fornavn;Etternavn;OU;Passord;epost;
Loyd;Hebump;OU=Salg,DC=25e,DC=local;aNoy8988;loyheb@game.no;
Hermoine;Chomm;OU=Salg,DC=25e,DC=local;aNoy8988;aNoy8988;loyheb@game.no;
Corey;Spowly;OU=Salg,DC=25e,DC=local;aNoy8988;aNoy8988;loyheb@game.no;
Gretchen;Smalbuss;OU=Salg,DC=25e,DC=local;aNoy8988;aNoy8988;loyheb@game.no;
Waldo;Porgocker;OU=Salg,DC=25e,DC=local;aNoy8988;aNoy8988;loyheb@game.no;
Calvin;Nonnerg;OU=Salg,DC=25e,DC=local;aNoy8988;aNoy8988;loyheb@game.no;
Lily;Bosiller;OU=Salg,DC=25e,DC=local;aNoy8988;aNoy8988;loyheb@game.no;
Knute;Maldude;OU=Salg,DC=25e,DC=local;aNoy8988;aNoy8988;loyheb@game.no;
Sabina;Sonduss;OU=Salg,DC=25e,DC=local;aNoy8988;loyheb@game.no;
Esau;Nirgis;OU=Salg,DC=25e,DC=local;aNoy8988;aNoy8988;loyheb@game.no;
